,,,,,,,,,,,,,,,,
,コントラクト一覧（千葉）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Tenant名,VRF名,コントラクト名,Subject,用途,通信方向,"送信元システム
（サブネット名等）","宛先システム
（サブネット名等）","送信元EPG
（Provided)","宛先EPG
（Consumed)",Filter,,,,,備考
,,,,,,,,,,,エントリ名,プロトコル,プロトコル,ステートフル,ポート,
,,,,,,,Exadata5号機_千葉開発業務セグメント#1,Exadata5号機_災対業務セグメント#3,epg-texadata_gyomu_kaihatsu-1,epg-texadata_gyomu-3,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#1,Exadata5号機_災対業務セグメント#4,epg-texadata_gyomu_kaihatsu-1,epg-texadata_gyomu-4,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#1,Exadata5号機_千葉開発業務セグメント#2,epg-texadata_gyomu_kaihatsu-1,epg-texadata_gyomu_kaihatsu-2,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#1,Exadata5号機_千葉開発業務セグメント#3,epg-texadata_gyomu_kaihatsu-1,epg-texadata_gyomu_kaihatsu-3,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#1,Exadata5号機_千葉開発業務セグメント#4,epg-texadata_gyomu_kaihatsu-1,epg-texadata_gyomu_kaihatsu-4,,,,,,
,,,cont-uni-epg-texadata_gyomu_kaihatsu-2,cont-subject,システム間,片方向のみ許可,Exadata5号機_千葉開発業務セグメント#2,Exadata5号機_災対業務セグメント#1,epg-texadata_gyomu_kaihatsu-2,epg-texadata_gyomu-1,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#2,Exadata5号機_災対業務セグメント#2,epg-texadata_gyomu_kaihatsu-2,epg-texadata_gyomu-2,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#2,Exadata5号機_災対業務セグメント#3,epg-texadata_gyomu_kaihatsu-2,epg-texadata_gyomu-3,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#2,Exadata5号機_災対業務セグメント#4,epg-texadata_gyomu_kaihatsu-2,epg-texadata_gyomu-4,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#2,Exadata5号機_千葉開発業務セグメント#1,epg-texadata_gyomu_kaihatsu-2,epg-texadata_gyomu_kaihatsu-1,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#2,Exadata5号機_千葉開発業務セグメント#3,epg-texadata_gyomu_kaihatsu-2,epg-texadata_gyomu_kaihatsu-3,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#2,Exadata5号機_千葉開発業務セグメント#4,epg-texadata_gyomu_kaihatsu-2,epg-texadata_gyomu_kaihatsu-4,,,,,,
,,,cont-uni-epg-texadata_gyomu_kaihatsu-3,cont-subject,システム間,片方向のみ許可,Exadata5号機_千葉開発業務セグメント#3,Exadata5号機_災対業務セグメント#1,epg-texadata_gyomu_kaihatsu-3,epg-texadata_gyomu-1,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#3,Exadata5号機_災対業務セグメント#2,epg-texadata_gyomu_kaihatsu-3,epg-texadata_gyomu-2,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#3,Exadata5号機_災対業務セグメント#3,epg-texadata_gyomu_kaihatsu-3,epg-texadata_gyomu-3,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#3,Exadata5号機_災対業務セグメント#4,epg-texadata_gyomu_kaihatsu-3,epg-texadata_gyomu-4,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#3,Exadata5号機_千葉開発業務セグメント#1,epg-texadata_gyomu_kaihatsu-3,epg-texadata_gyomu_kaihatsu-1,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#3,Exadata5号機_千葉開発業務セグメント#2,epg-texadata_gyomu_kaihatsu-3,epg-texadata_gyomu_kaihatsu-2,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#3,Exadata5号機_千葉開発業務セグメント#4,epg-texadata_gyomu_kaihatsu-3,epg-texadata_gyomu_kaihatsu-4,,,,,,
,,,cont-uni-epg-texadata_gyomu_kaihatsu-4,cont-subject,システム間,片方向のみ許可,Exadata5号機_千葉開発業務セグメント#4,Exadata5号機_災対業務セグメント#1,epg-texadata_gyomu_kaihatsu-4,epg-texadata_gyomu-1,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#4,Exadata5号機_災対業務セグメント#2,epg-texadata_gyomu_kaihatsu-4,epg-texadata_gyomu-2,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#4,Exadata5号機_災対業務セグメント#3,epg-texadata_gyomu_kaihatsu-4,epg-texadata_gyomu-3,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#4,Exadata5号機_災対業務セグメント#4,epg-texadata_gyomu_kaihatsu-4,epg-texadata_gyomu-4,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#4,Exadata5号機_千葉開発業務セグメント#1,epg-texadata_gyomu_kaihatsu-4,epg-texadata_gyomu_kaihatsu-1,,,,,,
,,,,,,,Exadata5号機_千葉開発業務セグメント#4,Exadata5号機_千葉開発業務セグメント#2,epg-texadata_gyomu_kaihatsu-4,epg-texadata_gyomu_kaihatsu-2,,,,,,
